STTSTTSTT,Loại công trìnhLoại côngLoại công  trìnhtrình,Tiêu chí phân cấpTiêuTiêu  chíchí  phânphân  cấpcấp,Cấp công trìnhCấp côngCấp công  trìnhtrình — Đặc biệtĐặc biệtĐặc biệt,Cấp công trìnhCấp côngCấp công  trìnhtrình — III,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IVIVIV,Cấp công trìnhCấp côngCấp công  trìnhtrình
1.4.41.4.41.4.4,"a) Trên sông, hồ, vịnh và đường ra đảoa) Trên sông, hồ, vịnh và đường ra đảoa) Trên sông, hồ, vịnh và đường ra đảo",Bề rộng B (m) hoặc độ sâu H (m) nước chạy tàuBề rộng B (m) hoặc độ sâu H (m) nước chạy tàuBề rộng B (m) hoặc độ sâu H (m) nước chạy tàu,B >120 hoặc H >5B >120 hoặc H >5B >120 hoặc H >5,B = 90 ÷ <120 hoặc H = 4 ÷ 5B = 90 ÷ <120 hoặc H = 4 ÷ 5B = 90 ÷ <120 hoặc H = 4 ÷ 5,B = 70 ÷ <90 hoặc H = 3 ÷ <4B = 70 ÷ <90 hoặc H = 3 ÷ <4B = 70 ÷ <90 hoặc H = 3 ÷ <4,B = 50 ÷ <70 hoặc H = 2 ÷ <3B = 50 ÷ <70 hoặc H = 2 ÷ <3B = 50 ÷ <70 hoặc H = 2 ÷ <3,B <50 hoặc H <2B <50 hoặc H <2B <50 hoặc H <2,
1.4.41.4.41.4.4,b) Trên kênh đàob) Trên kênh đàob) Trên kênh đào,Bề rộng B (m) hoặc độ sâu H (m) nước chạy tàuBề rộng B (m) hoặc độ sâu H (m) nước chạy tàuBề rộng B (m) hoặc độ sâu H (m) nước chạy tàu,B >70 hoặc H >5B >70 hoặc H >5B >70 hoặc H >5,B = 50 ÷ <70 hoặc H = 4 ÷ 5B = 50 ÷ <70 hoặc H = 4 ÷ 5B = 50 ÷ <70 hoặc H = 4 ÷ 5,B = 40 ÷ <50 hoặc H = 3 ÷ <4B = 40 ÷ <50 hoặc H = 3 ÷ <4B = 40 ÷ <50 hoặc H = 3 ÷ <4,B = 30 ÷ <40 hoặc H = 2 ÷ <3B = 30 ÷ <40 hoặc H = 2 ÷ <3B = 30 ÷ <40 hoặc H = 2 ÷ <3,B <30 hoặc H <2B <30 hoặc H <2B <30 hoặc H <2,
1.4.51.4.51.4.5,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải,Công trình hàng hảiCôngCông  trìnhtrình  hànghàng  hảihải
1.4.51.4.51.4.5,"1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão","1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão1.4.5.1 Công trình bến cảng biển; khu chuyển tải; khu neo đậu; khu tránh, trú bão"
1.4.51.4.51.4.5,"a) Bến cảng hàng hóa, công vụa) Bến cảng hàng hóa, công vụa) Bến cảng hàng hóa, công vụ",Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),>70>70>70,>40 ÷ 70>40 ÷ 70>40 ÷ 70,>20 ÷ 40>20 ÷ 40>20 ÷ 40,>5 ÷ 20>5 ÷ 20>5 ÷ 20,≤5≤5≤5,
1.4.51.4.51.4.5,b) Bến cảng hành kháchb) Bến cảng hành kháchb) Bến cảng hành khách,Tổng dung tích của tàu (nghìn GT)Tổng dung tích của tàu (nghìn GT)Tổng dung tích của tàu (nghìn GT),>150>150>150,>100 ÷ 150>100 ÷ 150>100 ÷ 150,>50 ÷ 100>50 ÷ 100>50 ÷ 100,>30 ÷ 50>30 ÷ 50>30 ÷ 50,≤30≤30≤30,
1.4.51.4.51.4.5,"c) Khu chuyển tải; khu neo đậu; khu tránh, trú bãoc) Khu chuyển tải; khu neo đậu; khu tránh, trú bãoc) Khu chuyển tải; khu neo đậu; khu tránh, trú bão",Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),>70>70>70,>40 ÷ 70>40 ÷ 70>40 ÷ 70,>20 ÷ 40>20 ÷ 40>20 ÷ 40,>5 ÷ 20>5 ÷ 20>5 ÷ 20,≤5≤5≤5,
1.4.51.4.51.4.5,"1.4.5.2 Cơ sở sửa chữa tàu biển, phương tiện thủy; âu tàu biển, ụ tàu biển và các công trình nâng hạ tàu biển khác (triền, đà, sàn nâng…)1.4.5.2 Cơ sở sửa chữa tàu biển, phương tiện thủy; âu tàu biển, ụ tàu biển và các công trình nâng hạ tàu biển khác (triền, đà, sàn nâng…)1.4.5.2 Cơ sở sửa chữa tàu biển, phương tiện thủy; âu tàu biển, ụ tàu biển và các công trình nâng hạ tàu biển khác (triền, đà, sàn nâng…)",Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),>70>70>70,>40 ÷ 70>40 ÷ 70>40 ÷ 70,>20 ÷ 40>20 ÷ 40>20 ÷ 40,>5 ÷ 20>5 ÷ 20>5 ÷ 20,≤5≤5≤5,
1.4.51.4.51.4.5,1.4.5.3 Luồng hàng hải1.4.5.3 Luồng hàng hải1.4.5.3 Luồng hàng hải,Bề rộng luồng một làn B (m) hoặc Chiều sâu chạy tàu Hct (m)Bề rộng luồng một làn B (m) hoặc Chiều sâu chạy tàu HBề rộng luồng một làn B (m) hoặc Chiều sâu chạy tàu Hctct (m) (m),B >190 hoặc Hct ≥16B >190 hoặc HB >190 hoặc Hctct ≥16 ≥16,140< B ≤190 hoặc 14≤ Hct <16140< B ≤190 hoặc 14≤ H140< B ≤190 hoặc 14≤ Hctct <16 <16,80< B ≤140 hoặc 8≤ Hct <1480< B ≤140 hoặc 8≤ H80< B ≤140 hoặc 8≤ Hctct <14 <14,50< B ≤80 hoặc 5≤ Hct <850< B ≤80 hoặc 5≤ H50< B ≤80 hoặc 5≤ Hctct <8 <8,B ≤50 hoặc Hct <5B ≤50 hoặc HB ≤50 hoặc Hctct <5 <5,
1.4.51.4.51.4.5,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:,1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:1.4.5.4 Các công trình hàng hải khác:
1.4.51.4.51.4.5,a) Phao báo hiệu hàng hảia) Phao báo hiệu hàng hảia) Phao báo hiệu hàng hải,Đường kính phao D (m)Đường kính phao D (m)Đường kính phao D (m),D ≥10D ≥10D ≥10,5≤ D <105≤ D <105≤ D <10,3≤ D <53≤ D <53≤ D <5,2≤ D <32≤ D <32≤ D <3,D <2D <2D <2,
1.4.51.4.51.4.5,"b) Công trình chỉnh trị, đê chắn sóng, đê chắn cát, kè hướng dòng, kè bảo vệ bờb) Công trình chỉnh trị, đê chắn sóng, đê chắn cát, kè hướng dòng, kè bảo vệ bờb) Công trình chỉnh trị, đê chắn sóng, đê chắn cát, kè hướng dòng, kè bảo vệ bờ",Chiều cao lớn nhất của công trình (m)Chiều cao lớn nhất của công trình (m)Chiều cao lớn nhất của công trình (m),>16>16>16,>12 ÷ 16>12 ÷ 16>12 ÷ 16,>8 ÷ 12>8 ÷ 12>8 ÷ 12,>5 ÷ 8>5 ÷ 8>5 ÷ 8,≤5≤5≤5,
1.4.61.4.61.4.6,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông,Công trình hàng khôngCôngCông  trìnhtrình  hànghàng  khôngkhông
1.4.61.4.61.4.6,1.4.6.1 Nhà ga hàng không (Nhà ga chính)1.4.6.1 Nhà ga hàng không (Nhà ga chính)1.4.6.1 Nhà ga hàng không (Nhà ga chính),Lượt hành khách (triệu khách/năm)Lượt hành khách (triệu khách/năm)Lượt hành khách (triệu khách/năm),≥10≥10≥10,<10<10<10,,,,
1.4.61.4.61.4.6,"1.4.6.2 Đường cất hạ cánh, đường lăn, sân đỗ tàu bay và các công trình tại khu vực phục vụ cho tàu bay cất, hạ cánh và lăn đến sân đỗ1.4.6.2 Đường cất hạ cánh, đường lăn, sân đỗ tàu bay và các công trình tại khu vực phục vụ cho tàu bay cất, hạ cánh và lăn đến sân đỗ1.4.6.2 Đường cất hạ cánh, đường lăn, sân đỗ tàu bay và các công trình tại khu vực phục vụ cho tàu bay cất, hạ cánh và lăn đến sân đỗ",Cấp sân bay theo quy định của Tổ chức hàng không dân dụng quốc tế (ICAO)Cấp sân bay theo quy định của Tổ chức hàng không dân dụng quốc tế (ICAO)Cấp sân bay theo quy định của Tổ chức hàng không dân dụng quốc tế (ICAO),Sân bay cấp từ 4E trở lênSân bay cấp từ 4E trở lênSân bay cấp từ 4E trở lên,Sân bay cấp thấp hơn 4ESân bay cấp thấp hơn 4ESân bay cấp thấp hơn 4E,,,,
1.4.61.4.61.4.6,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay,1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay1.4.6.3 Các công trình bảo đảm hoạt động bay
1.4.61.4.61.4.6,a) Trung tâm kiểm soát không lưu/ Trung tâm kiểm soát đường dàia) Trung tâm kiểm soát không lưu/ Trung tâm kiểm soát đường dàia) Trung tâm kiểm soát không lưu/ Trung tâm kiểm soát đường dài,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô
1.4.61.4.61.4.6,b) Đài kiểm soát không lưub) Đài kiểm soát không lưub) Đài kiểm soát không lưu,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cảng hàng không quốc tếCảng hàng không quốc tếCảng hàng không quốc tế,"Cảng hàng không, sân bay nội địaCảng hàng không, sân bay nội địaCảng hàng không, sân bay nội địa",,,,
1.4.61.4.61.4.6,1.4.6.4 Hăng ga máy bay1.4.6.4 Hăng ga máy bay1.4.6.4 Hăng ga máy bay,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô
